"STATION","NAME","DATE","CDSD","CLDD","DP01","DP05","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-06","128","79","4","2","1",,,"0","0","0","29","1","45",,,"1.16","90","6785","39","2.30",,"66.3","78.4","54.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-07","355","226","6","3","1",,,"0","0","0","31","7","47",,,"1.05","96","9","9","2.91",,"72.0","84.3","59.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-08","678","324","8","0","0",,,"0","0","0","31","10","52",,,"0.45","98","9","0","2.04",,"75.4","87.9","63.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-09","823","145","4","1","0",,,"0","0","0","26","8","36",,,"0.57","94","88","80","1.10",,"67.2","80.8","53.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-10","862","38","5","1","1",,,"0","1","0","20","0","26",,,"1.23","89","314","226","2.23",,"58.9","71.3","46.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-11","862","0","9","2","0","7","3","0","22","2","0","0","15","2","2.0","0.88","66","1137","822","3.74","6.1","37.6","44.9","30.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1900-12","862","0","1","0","0","0","1","0","27","10","0","0","5","0","1.0","0.19","54","2246","1109","0.43","2.2","29.2","36.1","22.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-01","0","0","4","0","0","22","3","2","30","15","0","0","-7","5","3.2","0.40","48","3442","1196","1.46","10.1","24.0","31.6","16.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-02","0","0","5","2","0","28","5","4","28","27","0","0","-4","17","11.0","0.98","33","4833","1392","2.22","23.4","15.3","23.1","7.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-03","0","0","5","1","0","11","1","4","28","4","1","0","-1","8","2.5","0.54","70","5874","1041","1.75","5.7","31.4","42.0","20.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-04","5","5","4","1","0",,,"0","12","0","5","0","26",,,"0.64","84","6411","536","1.37",,"47.3","58.1","36.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-05","9","4","4","0","0",,,"0","0","0","13","0","34",,,"0.42","85","6662","251","1.74",,"57.0","68.1","45.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-06","202","193","5","2","0",,,"0","0","0","26","7","37",,,"0.89","95","6734","72","2.01",,"69.0","81.5","56.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-07","566","363","5","2","1",,,"0","0","0","31","18","51",,,"1.06","97","2","2","3.35",,"76.7","89.2","64.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-08","785","219","5","3","1",,,"0","0","0","30","4","49",,,"1.01","94","6","4","3.14",,"72.0","83.8","60.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-09","843","58","4","2","1",,,"0","0","0","23","3","35",,,"1.03","93","114","108","1.95",,"63.4","75.6","51.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-10","848","5","4","1","1",,,"0","6","0","10","0","26",,,"1.80","79","515","402","2.55",,"52.2","64.5","39.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-11","848","0","4","1","0","1","0","0","25","3","0","0","12","1","0.5","0.60","60","1409","894","1.28","1.0","35.2","42.2","28.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1901-12","848","0","6","3","0","23","4","4","30","13","0","0","-11","4","2.7","0.98","59","2625","1216","3.06","9.3","23.4","30.7","16.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-01","0","0","3","0","0","25","3","1","31","20","0","0","-4","4","2.5","0.25","41","3936","1311","0.60","6.0","22.7","30.4","15.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-02","0","0","3","1","0","22","4","8","27","19","0","0","-7","11","5.0","0.50","54","5184","1248","1.11","11.5","20.4","29.9","11.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-03","0","0","4","0","0","0","0","0","22","3","0","0","8","0","0.0","0.36","69","5992","808","1.20","0.0","38.9","49.0","28.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-04","5","5","1","0","0",,,"0","9","0","2","0","23",,,"0.26","83","6557","565","0.78",,"46.3","57.3","35.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-05","46","41","11","2","0",,,"0","2","0","18","1","31",,,"0.74","90","6797","240","4.72",,"58.6","70.9","46.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-06","111","65","12","7","3",,,"0","0","0","21","0","42",,,"1.30","87","6900","102","7.56",,"63.7","74.1","53.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-07","338","227","14","8","2",,,"0","0","0","30","1","47",,,"2.45","91","7","7","10.78",,"72.1","82.5","61.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-08","437","99","2","0","0",,,"0","0","0","30","0","44",,,"0.40","88","43","36","0.63",,"67.0","79.1","55.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-09","472","34","9","4","2",,,"0","0","0","17","0","36",,,"1.57","85","192","149","6.41",,"61.2","71.9","50.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-10","472","0","5","2","0",,,"0","4","0","5","0","27",,,"0.69","75","624","431","1.95",,"51.1","61.5","40.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-11","472","0","8","1","0",,,"0","9","0","3","0","18",,,"0.50","70","1222","598","1.83",,"45.1","53.1","37.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1902-12","472","0","10","0","0","18","2","0","29","17","0","0","2","3","2.1","0.34","44","2467","1245","2.47","5.0","24.8","31.5","18.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1903-01","0","0","3","0","0","26","2","3","28","16","0","0","-7","6","3.2","0.40","50","3697","1230","1.28","7.3","22.5","30.0","15.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1903-02","0","0","8","3","0","0","2","3","26","13","0","0","-10","0","3.2","0.63","48","4846","1149","3.47","9.2","24.0","31.6","16.3"
